Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,City OPI ID,Country related
Aasmah,aasmah,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904feb0e247827df444177f,false,false,Fri Oct 31 2025 18:23:44 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Abu Dhabi,abu-dhabi,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fc751bd0890ef2a9d9c9,false,false,Fri Oct 31 2025 18:14:13 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Adhen,adhen,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ffbe635dcaea670e379d,false,false,Fri Oct 31 2025 18:28:14 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Ajman,ajman,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fcf22a0e2f73b6bdba68,false,false,Fri Oct 31 2025 18:16:18 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Ain,al-ain,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fd01ba7d7abebbcb4e62,false,false,Fri Oct 31 2025 18:16:33 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Aweer,al-aweer,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ffb3e95086f6d30c3ab9,false,false,Fri Oct 31 2025 18:28:03 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Badiyah,al-badiyah,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,69050058db85ad367d314897,false,false,Fri Oct 31 2025 18:30:48 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Bataeh,al-bataeh,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ff9dc9c19f419fbd782e,false,false,Fri Oct 31 2025 18:27:41 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Bithnah,al-bithnah,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904feec8a6d7fe76a266d7a,false,false,Fri Oct 31 2025 18:24:44 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Dhaid,al-dhaid,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fe8c6407b917f81b487b,false,false,Fri Oct 31 2025 18:23:08 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Digdaga,al-digdaga,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6905004d8918391970109564,false,false,Fri Oct 31 2025 18:30:37 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Fagaa,al-fagaa,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ffa9a22f1c4a0f86be2e,false,false,Fri Oct 31 2025 18:27:53 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Halah,al-halah,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ffeef4f197d8b31d0a55,false,false,Fri Oct 31 2025 18:29:02 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Hamraniah,al-hamraniah,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ff5761a4df2f3c7e2d47,false,false,Fri Oct 31 2025 18:26:31 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Huwailat,al-huwailat,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ff3071fe542e725913bd,false,false,Fri Oct 31 2025 18:25:52 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Jazeera Al Hamra,al-jazeera-al-hamra,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904febb5f3fad34f863a171,false,false,Fri Oct 31 2025 18:23:55 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Jeer,al-jeer,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ff62e95086f6d30c2d47,false,false,Fri Oct 31 2025 18:26:42 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Manama,al-manama,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fee2e6b1abf097b50687,false,false,Fri Oct 31 2025 18:24:34 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Mirfa,al-mirfa,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fffcd1c055635f94ea5d,false,false,Fri Oct 31 2025 18:29:16 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Qussaidat,al-qussaidat,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,69050031c162f0a0512f8490,false,false,Fri Oct 31 2025 18:30:09 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Raafah,al-raafah,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ff6ca0e3d6f14b44d7f2,false,false,Fri Oct 31 2025 18:26:51 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Rams,al-rams,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6905000a96287dd20ffb316a,false,false,Fri Oct 31 2025 18:29:30 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Ruwais Industrial City,al-ruwais-industrial-city,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ff044c0067be3de99601,false,false,Fri Oct 31 2025 18:25:08 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Al Sila,al-sila,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ff4d16e8c202adddcd47,false,false,Fri Oct 31 2025 18:26:21 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Dibba Al-Fujairah,dibba-al-fujairah,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fed585b61f98e798b076,false,false,Fri Oct 31 2025 18:24:21 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Dibba Al-Hisn,dibba-al-hisn,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fe373053d4de546c2a64,false,false,Fri Oct 31 2025 18:21:43 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Dubai,dubai,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fc0e0b909c569929bf27,false,false,Fri Oct 31 2025 18:12:30 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Emirate of Umm Al Quwain,emirate-of-umm-al-quwain,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ff77ce6cf265f2d5804a,false,false,Fri Oct 31 2025 18:27:03 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Fujairah,fujairah,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fe29d4a0b2f9a78d8dad,false,false,Fri Oct 31 2025 18:21:29 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Fujairah,fujairah-2,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fe7e1522e397be742cce,false,false,Fri Oct 31 2025 18:22:54 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Ghalilah,ghalilah,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,69050026500e8e35a4f8af5d,false,false,Fri Oct 31 2025 18:29:58 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Ghayl,ghayl,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ff251d81e21e35668b8a,false,false,Fri Oct 31 2025 18:25:41 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Ghiyathi,ghiyathi,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904ff90b7f44af9d8460d70,false,false,Fri Oct 31 2025 18:27:28 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
Hatta,hatta,68c8c864c4390348ac0925a6,68ada6f5bc65af392b69f8d6,6904fef8a4faf468dffd45b0,false,false,Fri Oct 31 2025 18:24:56 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 03 2025 13:43:03 GMT+0000 (Coordinated Universal Time),,united-arab-emirates
